millis,stamp,datetime,Moisture level
245999, 1566443168, 2019/8/22 3:6:8, 727
247999, 1566443170, 2019/8/22 3:6:10, 728
249999, 1566443172, 2019/8/22 3:6:12, 728
251999, 1566443174, 2019/8/22 3:6:14, 728
253999, 1566443176, 2019/8/22 3:6:16, 728
256000, 1566443178, 2019/8/22 3:6:18, 728
257999, 1566443180, 2019/8/22 3:6:20, 728
259999, 1566443182, 2019/8/22 3:6:22, 728
261999, 1566443184, 2019/8/22 3:6:24, 728
263999, 1566443186, 2019/8/22 3:6:26, 728
265999, 1566443188, 2019/8/22 3:6:28, 728
267999, 1566443190, 2019/8/22 3:6:30, 727
